document,year,doc_type,page_number,geographic_type,location,context
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,2,eu_references,Europe,re at a pivotal moment to help bring  permanent protection to the Vjosa River and the Blue Heart of Europe. We continue to boycott Facebook and  Instagram and change how we deliver content—resulting in more
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,2,countries,UK," in our history of doing business there—and certainly in the context of 10 years since  the tragic Fukushima nuclear meltdown. And after years of campaigning, we are at a pivotal moment to help bring  p"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,3,us_states_blue,California,"a registered benefit corporation in 2012, on the first day we  were legally able to in the state of California. In doing so, Patagonia  and our subsidiaries, Patagonia, Inc., Great Pacific Iron Works,  Patagoni"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,8,us_states_blue,New York,"Nevada, with 70 repair  technicians; and our largest in-store repair  center in our Bowery store in New York City).  101,706 Products we fixed at our repair  centers around the globe. 30  Of our top 40 materi"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,8,countries,India,"er of organic cotton farmers  involved in Patagonia’s Regenerative  Organic Certification pilots in India. 47,622 Pounds of old Patagonia garments that could not be  repaired or reused that were responsibl"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,14,eu_references,Europe,"address various social and  environmental issues, including the fight to  protect the Blue Heart of Europe, climate and  environmental justice activism, and the way  we are addressing our carbon footprint. "
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,18,us_states_blue,California,s on B Lab’s Impact Assessment. We chose B Lab for  the third-party verification required under the California Benefit Corporation  statute because we believe their experience certifying thousands of companies 
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,2,us_states_blue,California,"a registered benefit corporation in 2012, on the first day we  were legally able to in the state of California. In doing so, Patagonia  and our subsidiaries, Patagonia, Inc., Great Pacific Iron Works,  Patagoni"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,7,us_states_blue,New York,"Nevada, with 98 repair  technicians; and our largest in-store repair  center in our Bowery store in New York City).  85,670 Products we fixed at our repair  centers around the globe. 29  Of our top 40 materia"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,7,countries,India,"er of organic cotton farmers  involved in Patagonia’s Regenerative  Organic Certification pilots in India. 169,944 Pounds of old Patagonia garments that could not be  repaired or reused that were responsib"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,13,eu_references,Europe,"address various social and  environmental issues, including the fight to  protect the Blue Heart of Europe, climate and  environmental justice activism, and the way  we are addressing our carbon footprint. "
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,17,us_states_blue,California,s on B Lab’s Impact Assessment. We chose B Lab for  the third-party verification required under the California Benefit Corporation  statute because we believe their experience certifying thousands of companies 
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,2,us_states_blue,California,2 Table of Contents A.	 Introduction 1.	 Human Trafficking Background  2.	 California Senate Bill 657  3.	 UK Modern Slavery Act 2015 4.	 Australian Modern Slavery Act 2018 5.	 Patagoni
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,2,countries,UK, of Contents A.	 Introduction 1.	 Human Trafficking Background  2.	 California Senate Bill 657  3.	 UK Modern Slavery Act 2015 4.	 Australian Modern Slavery Act 2018 5.	 Patagonia History and Operations
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,us_states_blue,California,"2. This statement details our efforts to combat modern  slavery in our supply chain pursuant to the California Supply Chain Transparency Act, UK Modern Slavery Act  2015, and Australia Modern Slavery Act. “Huma"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,us_states_blue,California, unmonitored subcontractors are particularly susceptible.   2.	 Cal. Civ. Code § 1714.43 (SB 657) - California Transparency in Supply  Chains Act (“the California Act”) The California Act “require(s) all retail
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,us_states_blue,California,ible.   2.	 Cal. Civ. Code § 1714.43 (SB 657) - California Transparency in Supply  Chains Act (“the California Act”) The California Act “require(s) all retail sellers and manufacturers doing business in the sta
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,us_states_blue,California, Code § 1714.43 (SB 657) - California Transparency in Supply  Chains Act (“the California Act”) The California Act “require(s) all retail sellers and manufacturers doing business in the state to disclose  their
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,us_states_blue,California,"e slavery and human trafficking from their direct supply for tangible goods  offered for sale.” The California Act requires Patagonia to disclose its efforts in five areas: verification,  audits, certification,"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,countries,UK,"ombat modern  slavery in our supply chain pursuant to the California Supply Chain Transparency Act, UK Modern Slavery Act  2015, and Australia Modern Slavery Act. “Human Trafficking is a crime against h"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,countries,UK,"ts in five areas: verification,  audits, certification, internal accountability, and training.” 3.	 UK Modern Slavery Act 2015 (“the UK Act”) The UK Modern Slavery Act 2015 requires businesses with a pr"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,countries,UK,"audits, certification, internal accountability, and training.” 3.	 UK Modern Slavery Act 2015 (“the UK Act”) The UK Modern Slavery Act 2015 requires businesses with a presence in the UK to publish a sta"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,countries,UK,"fication, internal accountability, and training.” 3.	 UK Modern Slavery Act 2015 (“the UK Act”) The UK Modern Slavery Act 2015 requires businesses with a presence in the UK to publish a state- ment deta"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,countries,UK,y Act 2015 (“the UK Act”) The UK Modern Slavery Act 2015 requires businesses with a presence in the UK to publish a state- ment detailing “what steps an organisation is taking to tackle modern slavery.”
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,us_states_blue,California,"rfing, climbing, fly fishing,  skiing and trail running.  Patagonia was founded in 1973 in Ventura, California and, in 2012, Patagonia  became a registered California benefit corporation. Our products are sold "
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,us_states_blue,California,"  Patagonia was founded in 1973 in Ventura, California and, in 2012, Patagonia  became a registered California benefit corporation. Our products are sold in over 40 countries through  our stores, retailers and "
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,5,us_states_blue,California,"5 B.	 Patagonia’s Disclosures The disclosures below follow the format of the California Act, and provide the information sought by the UK  Act and the Australian Act. 1.	 Verification The"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,5,us_states_blue,California,"Act, and provide the information sought by the UK  Act and the Australian Act. 1.	 Verification The California Act requires Patagonia to “disclose to what extent, if any, [the company]…[e]ngages in  verificatio"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,5,countries,UK,"isclosures below follow the format of the California Act, and provide the information sought by the UK  Act and the Australian Act. 1.	 Verification The California Act requires Patagonia to “disclose to"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,6,us_states_blue,California,"ation labor broker  who is required to be present during the initial audit. 2.	 Supplier Audits The California Act requires Patagonia to “disclose to what extent, if any, [the company]… [c]onducts  audits of su"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,8,us_states_blue,California,"erlying cause(s) of the violation to determine  the best course of action.    3.	 Certification The California Act requires Patagonia to “disclose to what extent, if any, [the company]… [r]equires  direct suppl"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,8,countries,China,"ed our fibers sourcing policy, which expressly prohibits our suppliers from  purchasing cotton from China, Turkmenistan and Uzbekistan or conducting any manufacturing  processes in Xinjiang, China. These a"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,8,countries,China,"ton from China, Turkmenistan and Uzbekistan or conducting any manufacturing  processes in Xinjiang, China. These are regions that US government agencies have deemed as  high risk for human trafficking and "
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,9,us_states_blue,California,"yzed and presented to the 4-fold team for discussion of next steps. 4.	 Internal Accountability The California Act requires Patagonia to “disclose to what extent, if any, [the company]… [m]aintains  internal ac"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,9,us_states_blue,California,"n this effort.  We evaluate the strength of their grievance system in  our audits. 5.	 Training The California Act requires Patagonia to “disclose to what extent, if any, [the company]… [p]rovides  company empl"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,10,countries,UK,"ces within our supply chain  and it shall be reviewed annually and updated accordingly. Hilary Dessouky  General Counsel, Patagonia Works DocuSign Envelope ID: 1F647E4F-4B83-4EDE-84D2-BDB2EA5B2602"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,11,us_states_blue,California,"he CA Transparency in Supply Chains Act, UK Modern Slavery Act and  Australia Modern Slavery Act •	 California Transparency in Supply Chains Act – Office of Attorney General  oag.ca.gov/SB657 •	 The California "
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,11,us_states_blue,California, California Transparency in Supply Chains Act – Office of Attorney General  oag.ca.gov/SB657 •	 The California Transparency in Supply Chains Act – A Resource Guide  oag.ca.gov/sites/all/files/agweb/pdfs/sb657/r
