document,year,doc_type,page_number,impact_category,keyword_count,keywords_found
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,2,environmental,1,['carbon']
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,2,social,3,"['employee', 'equity', 'community']"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,4,governance,1,['transparency']
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,6,environmental,3,"['climate', 'water', 'pollution']"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,6,social,3,"['employee', 'community', 'health']"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,7,environmental,5,"['emissions', 'greenhouse gas', 'water', 'waste', 'recycling']"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,7,supply_chain,1,['supply chain']
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,8,social,3,"['labor', 'worker', 'fair trade']"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,8,supply_chain,1,['supplier']
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,9,environmental,5,"['emissions', 'greenhouse gas', 'water', 'waste', 'footprint']"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,10,environmental,6,"['carbon', 'greenhouse gas', 'solar', 'waste', 'plastic', 'footprint']"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,10,social,1,['employee']
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,11,governance,1,['board']
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,12,environmental,4,"['renewable energy', 'solar', 'water', 'waste']"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,12,social,4,"['worker', 'employee', 'community', 'safety']"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,12,supply_chain,1,['supplier']
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,13,governance,1,['transparency']
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,14,environmental,4,"['climate', 'carbon', 'waste', 'footprint']"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,14,governance,1,['transparency']
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,15,social,1,['health']
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,16,environmental,1,['climate']
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,16,social,4,"['employee', 'living wage', 'health', 'safety']"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,17,social,1,['employee']
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,19,social,2,"['worker', 'community']"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,19,governance,1,['governance']
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,3,governance,1,['transparency']
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,5,environmental,5,"['climate', 'emissions', 'greenhouse gas', 'water', 'pollution']"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,5,social,2,"['employee', 'health']"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,6,environmental,5,"['emissions', 'greenhouse gas', 'water', 'waste', 'recycling']"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,6,supply_chain,1,['supply chain']
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,7,social,3,"['labor', 'worker', 'fair trade']"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,7,supply_chain,1,['supplier']
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,8,environmental,5,"['emissions', 'greenhouse gas', 'water', 'waste', 'footprint']"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,9,environmental,6,"['carbon', 'emissions', 'greenhouse gas', 'solar', 'waste', 'footprint']"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,10,governance,1,['board']
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,11,environmental,4,"['solar', 'water', 'waste', 'recycling']"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,11,social,1,['employee']
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,12,governance,1,['transparency']
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,13,environmental,4,"['climate', 'carbon', 'waste', 'footprint']"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,13,governance,1,['transparency']
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,14,social,1,['health']
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,15,social,5,"['employee', 'living wage', 'community', 'health', 'safety']"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,16,social,1,['employee']
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,18,social,2,"['worker', 'community']"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,18,governance,1,['governance']
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,1,social,1,['labor']
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,2,social,2,"['labor', 'worker']"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,2,governance,3,"['accountability', 'audit', 'disclosure']"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,2,supply_chain,2,"['supplier', 'audit']"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,social,1,['labor']
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,governance,3,"['transparency', 'accountability', 'audit']"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,supply_chain,3,"['supply chain', 'due diligence', 'audit']"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,social,4,"['labor', 'worker', 'human rights', 'working conditions']"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,governance,1,['disclosure']
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,supply_chain,3,"['supply chain', 'supplier', 'tier 2']"
