document,year,doc_type,page_number,category,pattern_matched,extracted_text,context,word_count
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,2,Target/Goal,commitment,commitment,"  Thank you for welcoming me as your CEO. Thank you for your determination, your optimism and your  commitment to our reason for being. And while there is still chaos and plenty of work, we are smarter, more  r",536
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,2,Target/Goal,carbon neutral,carbon neutral,"ours and pay, but you launched a feature-length, award- winning film and exciting new products. The carbon neutrality announcement by Japan’s government presents  the biggest call to action in our history of doing ",536
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,3,Target/Goal,commitment,commitment,"agonia Provisions, Inc. and Fletcher Chouinard Designs, Inc.,  adopted six specific benefit purpose commitments (which you’ll find  listed and described within) that govern our operations at the most  fundament",135
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,6,Target/Goal,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)",$10 million,"ade to grassroots environmental grantees  by the end of the year. In 17 days, our community  raised $10 million to support these groups. 100 Percent of stores across the globe that we closed so that  our employe",255
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,6,Target/Goal,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)",$3m,"radical action on climate change. 14,000 Hours of skill-based volunteering donated  (valued at over $3M) through Patagonia Action Works. 1% for the Planet",255
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,7,Target/Goal,recycled,recycled,ng and fabricating products that are easily repaired and  made from materials that can be reused or recycled; 3) designing and fabricating products with  minimal impacts throughout the supply chain—including ,122
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,7,Target/Goal,supply chain,supply chain,"n be reused or recycled; 3) designing and fabricating products with  minimal impacts throughout the supply chain—including resource extraction, manufacturing and  transportation—on water use, water quality, energ",122
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,8,Target/Goal,recycled,recycled,"47,622 Pounds of old Patagonia garments that could not be  repaired or reused that were responsibly recycled. Build the Best Product with No Unnecessary Harm Virgin petroleum-based products (POLYESTER/NYLON) ",336
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,8,Target/Goal,recycled,Recycled,. Build the Best Product with No Unnecessary Harm Virgin petroleum-based products (POLYESTER/NYLON) Recycled materials Virgin cotton and other plant-based materials Virgin wool and other animal products PATAG,336
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,8,Target/Goal,fair trade,Fair Trade,"pliers are  bluesign® System Partners. 66,000  Number of factory apparel workers who have  earned a Fair Trade premium for their labor and  received improved benefits from Patagonia’s  participation in the Fair",336
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,8,Target/Goal,fair trade,Fair Trade,"rade premium for their labor and  received improved benefits from Patagonia’s  participation in the Fair Trade USA program. 76,562  Number of people who attended Worn Wear Tour  events. Our Worn Wear team goes ",336
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,8,Target/Goal,fair trade,Fair Trade,"vents in Korea, where our  program just took root this year. 73%  Percentage of our styles that are Fair Trade  Certified™ sewn, up from 24% in FY18. 567 Number of organic cotton farmers  involved in Patagonia’",336
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,9,Target/Goal,reduce,reduce,"m We will conduct our operations in a manner causing no  unnecessary harm by continually seeking to reduce the  environmental footprint and impact of our operations in water  use, water quality, energy use,",54
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,10,Target/Goal,reduce,reduce,ources. We aim  to be at 100% by the end of 2021.  108 Hours spent by our Japan Zero Waste  Team to reduce office waste and educate  staff on zero-waste living principles. 679 Kilowatts of solar energy inst,234
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,10,Target/Goal,achieve,achieve,"ed with nontoxic ink.  45 Percentage of reduction in plastic packaging in North  American eCommerce achieved by switching to paper. 2,130,000 The number of kilowatt hours produced  from the solar arrays at o",234
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,10,Target/Goal,scope 1,Scope 1,"o Unnecessary Harm PATAGONIA’S GREENHOUSE GAS FOOTPRINT   (In metric ton carbon dioxide equivalent) Scope 1 Scope 2 Scope 3 TOTAL 1,082 3,027 162,948 167,057 FY18 1,041 4,114 223,285 228,440 FY19 1,442 3,744",234
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,10,Target/Goal,scope 2,Scope 2,"ssary Harm PATAGONIA’S GREENHOUSE GAS FOOTPRINT   (In metric ton carbon dioxide equivalent) Scope 1 Scope 2 Scope 3 TOTAL 1,082 3,027 162,948 167,057 FY18 1,041 4,114 223,285 228,440 FY19 1,442 3,744 219,379",234
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,10,Target/Goal,scope 3,Scope 3,"rm PATAGONIA’S GREENHOUSE GAS FOOTPRINT   (In metric ton carbon dioxide equivalent) Scope 1 Scope 2 Scope 3 TOTAL 1,082 3,027 162,948 167,057 FY18 1,041 4,114 223,285 228,440 FY19 1,442 3,744 219,379 224,565",234
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,10,Target/Goal,\d+%\s+(?:reduction|decrease|increase|improvement),19% increase,"  1,179,791 Single-occupant-vehicle trip miles  averted through our employee Drive-Less  Program, a 19% increase from FY19.  16 Classrooms in our Child Development  Centers participating in zero-waste efforts. 10",234
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,11,Target/Goal,commitment,commitment,"20 Annual Benefit Corporation Report Sharing Best Practices  with Other Companies In support of our commitment to “use business to inspire  and implement solutions to the environmental crisis,” we will  share p",63
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,12,Target/Goal,renewable energy,renewable energy,"to date, through our venture capital  fund, Tin Shed Ventures®. These businesses  focus on building renewable energy  infrastructure, practicing Regenerative  Organic methods, conserving water, diverting  waste and c",185
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,14,Target/Goal,reduce,reduce,y students that participated  in the 5th Annual Patagonia Case Competition  to propose solutions to reduce waste  generated throughout the entire life cycle of  our products—from design and manufacturing  t,118
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,16,Target/Goal,living wage,Living Wage,nefits flat for four years. 100 Percentage of Patagonia  employees in the US who are  paid at least Living Wage. 96  Percentage of Patagonia’s eligible  US employees who put money  away for retirement through th,368
