document,year,document_type,page_number,word_count,has_images,text_preview
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,1,14,True,"Annual 
Benefit 
Corporation
Report
Fiscal Year 2020
May 1, 2019 – April 30, 2020"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,2,536,False,"Forward: The Longest Year
On March 15, 2021, our CEO, Ryan Gellert, sent the company an email with the subject 
line “The Longest Year.” We open this report with his email, but you’ll find that the 
c..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,3,135,False,"Introduction
Patagonia Works (“Patagonia”) is an outdoor apparel company 
with an almost 50-year history of environmental conservation and 
activism. In 2018, we changed our official reason for being ..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,4,43,False,"1% for the Planet®
5
Build the Best Product with No Unnecessary Harm
7
Conduct Operations Causing No Unnecessary Harm
9
Sharing Best Practices with Other Companies
11
Transparency
13
Providing a ..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,5,35,True,"5
Fiscal Year 2020
Annual Benefit Corporation Report
1% for the Planet
®
Each year, we contribute one percent (1%) of our annual net 
revenues to nonprofit charitable organizations that promote 
envir..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,6,255,False,"6
1% for the Planet® 
A nonprofit we cofounded in 2002 that commits Patagonia 
to donating 1% of net revenues in cash and in-kind donations 
every year, primarily to grassroots environmental nonprofit..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,7,122,True,"7
Fiscal Year 2020
Annual Benefit Corporation Report
Build the Best Product with 
No Unnecessary Harm
We endeavor to build the best products, 
while causing no unnecessary harm to the planet or its in..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,8,336,False,"8
9.12
Average quality score on a 1–10 scale (10 being 
best), against our internal Patagonia Design Quality 
Attributes rating system. This rating process serves 
as a way to push our design teams to..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,9,54,True,"9
Fiscal Year 2020
Annual Benefit Corporation Report
Conduct Operations 
Causing No 
Unnecessary Harm
We will conduct our operations in a manner causing no 
unnecessary harm by continually seeking to ..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,10,234,False,"10
Conduct Operations Causing No Unnecessary Harm
PATAGONIA’S GREENHOUSE GAS FOOTPRINT  
(In metric ton carbon dioxide equivalent)
Scope 1
Scope 2
Scope 3
TOTAL
1,082
3,027
162,948
167,057
FY18
1,041
..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,11,63,True,"11
Fiscal Year 2020
Annual Benefit Corporation Report
Sharing Best Practices 
with Other Companies
In support of our commitment to “use business to inspire 
and implement solutions to the environmenta..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,12,185,False,"12
Sharing Best Practices with Other Companies
14
Number of responsible businesses invested 
in, to date, through our venture capital 
fund, Tin Shed Ventures®. These businesses 
focus on building ren..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,13,42,True,"13
Fiscal Year 2020
Annual Benefit Corporation Report
Transparency
We will provide information through our website and 
print catalogs that describes the environmental impact of 
representative items ..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,14,118,False,"14
17 
Years since we first posted a list of the 
factories we work with worldwide, which 
remains a leading practice in our industry. 
60
Pages on our website that are devoted to 
explaining the impa..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,15,49,True,"15
Fiscal Year 2020
Annual Benefit Corporation Report
Providing a Supportive
Work Environment
We will endeavor to provide a supportive work environment 
and high-quality health care through measures i..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,16,368,False,"16
Providing a Supportive Work Environment
100%
Cost of medical premiums 
for employees covered by 
Patagonia. In spite of 4% cost 
increases each year nationally, 
Patagonia has kept the cost to 
emp..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,17,86,False,"17
184
Children enrolled in Patagonia on-site child care. 
59
Teachers employed by Patagonia.
16
Number of child-care classrooms.
80
Number of caregiver days spent on the road caring 
for babies trave..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,18,110,True,"Fiscal Year 2020
Annual Benefit Corporation Report
In Closing
Patagonia is a Certified B Corp, which means that our company’s overall 
environmental and social performance is measured and independentl..."
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,19,43,False,"Patagonia’s B Corp Scores
19
2012
2014
2016
2019
Governance
14.7
17.1
17.3
16.9
Workers
25
24
24.9
20.8
Community
19.9
30.9
58.7
63.8
Environment
47.5
34.7
44.8
43.5
Customers
-
7.1
5.8
6.3
OVERALL
10..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,1,14,True,"Annual 
Benefit 
Corporation
Report
Fiscal Year 2021
May 1, 2020 – April 30, 2021"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,2,135,False,"Introduction
Patagonia Works (“Patagonia”) is an outdoor apparel company 
with an almost 50-year history of environmental conservation and 
activism. In 2018, we changed our official reason for being ..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,3,43,False,"1% for the Planet®
4
Build the Best Product with No Unnecessary Harm
6
Conduct Operations Causing No Unnecessary Harm
8
Sharing Best Practices with Other Companies
10
Transparency
12
Providing a ..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,4,35,True,"4
Fiscal Year 2021
Annual Benefit Corporation Report
1% for the Planet
®
Each year, we contribute one percent (1%) of our annual net 
revenues to nonprofit charitable organizations that promote 
envir..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,5,220,False,"5
1% for the Planet® 
A nonprofit we cofounded in 2002 that commits Patagonia 
to donating 1% of net revenues in cash and in-kind donations 
every year, primarily to grassroots environmental nonprofit..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,6,122,True,"6
Fiscal Year 2021
Annual Benefit Corporation Report
Build the Best Product with 
No Unnecessary Harm
We endeavor to build the best products, 
while causing no unnecessary harm to the planet or its in..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,7,311,False,"7
8.81
Average quality score on a 1–10 scale (10 being 
best), against our internal Patagonia Design Quality 
Attributes rating system. This rating process serves 
as a way to push our design teams to..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,8,54,True,"8
Fiscal Year 2021
Annual Benefit Corporation Report
Conduct Operations 
Causing No 
Unnecessary Harm
We will conduct our operations in a manner causing no 
unnecessary harm by continually seeking to ..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,9,233,False,"9
Conduct Operations Causing No Unnecessary Harm
PATAGONIA’S GREENHOUSE GAS FOOTPRINT  
(In metric ton carbon dioxide equivalent)
Scope 1
Scope 2
Scope 3
TOTAL
1,082
3,027
162,948
167,057
FY18
1,041
4..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,10,63,True,"10
Fiscal Year 2021
Annual Benefit Corporation Report
Sharing Best Practices 
with Other Companies
In support of our commitment to “use business to inspire 
and implement solutions to the environmenta..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,11,202,False,"11
Sharing Best Practices with Other Companies
14
Number of responsible businesses and funds 
invested in, to date, through our venture 
capital fund, Tin Shed Ventures®. These 
businesses focus on bu..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,12,42,True,"12
Fiscal Year 2021
Annual Benefit Corporation Report
Transparency
We will provide information through our website and 
print catalogs that describes the environmental impact of 
representative items ..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,13,118,False,"13
18 
Years since we first posted a list of the 
factories we work with worldwide, which 
remains a leading practice in our industry. 
62
Pages on our website that are devoted to 
explaining the impa..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,14,49,True,"14
Fiscal Year 2021
Annual Benefit Corporation Report
Providing a Supportive
Work Environment
We will endeavor to provide a supportive work environment 
and high-quality health care through measures i..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,15,403,False,"15
Providing a Supportive Work Environment
100%
Cost of medical premiums 
for employees covered 
by Patagonia. In spite of 
continuous cost increases, 
Patagonia has continued to 
pay for those increa..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,16,79,False,"16
133
Children enrolled in Patagonia on-site child care. 
56
Teachers employed by Patagonia.
15
Number of child-care classrooms.
15
Number of child care classrooms with 
a full-time bilingual teacher..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,17,110,True,"Fiscal Year 2021
Annual Benefit Corporation Report
In Closing
Patagonia is a Certified B Corp, which means that our company’s overall 
environmental and social performance is measured and independentl..."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,18,43,False,"Patagonia’s B Corp Scores
18
2012
2014
2016
2019
Governance
14.7
17.1
17.3
16.9
Workers
25
24
24.9
20.8
Community
19.9
30.9
58.7
63.8
Environment
47.5
34.7
44.8
43.5
Customers
-
7.1
5.8
6.3
OVERALL
10..."
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,1,18,False,"Patagonia, Inc. 
Statement on 
Modern Slavery 
Including Child Labor, Forced Labor and 
Human Trafficking
DocuSign Envelope ID: 1F647E4F-4B83-4EDE-84D2-BDB2EA5B2602"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,2,100,False,"2
Table of Contents
A.	 Introduction
1.	 Human Trafficking Background 
2.	 California Senate Bill 657 
3.	 UK Modern Slavery Act 2015
4.	 Australian Modern Slavery Act 2018
5.	 Patagonia History and O..."
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,549,False,"3
A.	 Introduction
This statement is made on behalf of Patagonia, Inc. and its subsidiaries including its international business 
operations for the period May 1, 2021 to April 30, 2022. This statemen..."
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,524,False,"4
5.	
Patagonia History and Operations 
Patagonia is an outdoor apparel and gear company for sports including surfing, climbing, fly fishing, 
skiing and trail running.  Patagonia was founded in 1973 ..."
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,5,584,False,"5
B.	 Patagonia’s Disclosures
The disclosures below follow the format of the California Act, and provide the information sought by the UK 
Act and the Australian Act.
1.	
Verification
The California A..."
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,6,635,False,"6
All new finished goods factories undergo a pre-sourcing audit and only when a factory is able to 
satisfactorily meet our standards can orders be placed. The supplier is then put on a monitoring 
cy..."
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,7,512,False,"7
In all social audits, we employ a triangulation method for detecting and substantiating findings 
which consists of:
i.	
Interviews with management and a diverse set of workers from various departme..."
